epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1571.68,1.34536,1.2383,1.14857,0.64263,0.47501,0.5287,0.33825,1.20625,1.40715,0.99588,0.0006338,0.0006338,0.0006338
71,1595.18,1.34478,1.21568,1.12959,0.66757,0.45888,0.53043,0.33872,1.18954,1.40187,0.98309,0.000614,0.000614,0.000614
72,1617.19,1.41858,1.29011,1.14009,0.68106,0.46746,0.52956,0.342,1.19824,1.7381,0.98597,0.0005942,0.0005942,0.0005942
73,1641.17,1.35035,1.32058,1.14622,0.65828,0.46781,0.52777,0.34056,1.20764,1.57628,0.99297,0.0005744,0.0005744,0.0005744
74,1662.51,1.30216,1.22995,1.15043,0.68035,0.45926,0.52897,0.33749,1.21211,1.41918,0.99307,0.0005546,0.0005546,0.0005546
75,1684.73,1.34404,1.22603,1.16107,0.66721,0.47449,0.53698,0.34491,1.23445,1.56187,1.00538,0.0005348,0.0005348,0.0005348
76,1707.85,1.39726,1.25362,1.13915,0.65936,0.48647,0.5296,0.34254,1.19654,1.42202,0.9846,0.000515,0.000515,0.000515
77,1729.27,1.31993,1.21797,1.1126,0.67505,0.47744,0.53526,0.34344,1.17736,1.44954,0.97206,0.0004952,0.0004952,0.0004952
78,1752.64,1.35535,1.20477,1.13944,0.6545,0.48777,0.54272,0.34814,1.19101,1.25584,0.9713,0.0004754,0.0004754,0.0004754
79,1774.64,1.33292,1.16489,1.11018,0.67627,0.48152,0.54044,0.34719,1.18952,1.28287,0.97883,0.0004556,0.0004556,0.0004556
80,1797.88,1.25356,1.1345,1.1058,0.66337,0.48162,0.53978,0.34843,1.18691,1.48964,0.97447,0.0004358,0.0004358,0.0004358
81,1819.64,1.31244,1.14937,1.12945,0.66025,0.48777,0.54511,0.35212,1.15793,1.32331,0.96362,0.000416,0.000416,0.000416
82,1843.21,1.30262,1.07457,1.10851,0.68826,0.47553,0.54751,0.35384,1.15199,1.38365,0.95734,0.0003962,0.0003962,0.0003962
83,1865.71,1.32671,1.17147,1.13146,0.65878,0.49648,0.5548,0.35935,1.14145,1.22758,0.95192,0.0003764,0.0003764,0.0003764
84,1888.26,1.3188,1.20357,1.12404,0.65547,0.5041,0.54893,0.35749,1.14013,1.24864,0.95444,0.0003566,0.0003566,0.0003566
85,1910.56,1.26579,1.10673,1.09328,0.67367,0.49245,0.54531,0.35537,1.15633,1.21599,0.9572,0.0003368,0.0003368,0.0003368
86,1931.75,1.25305,1.10155,1.08872,0.669,0.50182,0.55464,0.36075,1.13986,1.24128,0.95523,0.000317,0.000317,0.000317
87,1955.55,1.31797,1.19969,1.11509,0.66621,0.49922,0.557,0.36221,1.13905,1.27424,0.95148,0.0002972,0.0002972,0.0002972
88,1977.4,1.21901,1.10017,1.09474,0.6612,0.50034,0.55415,0.36311,1.12702,1.20876,0.94995,0.0002774,0.0002774,0.0002774
89,2000.78,1.24985,1.07785,1.10896,0.65733,0.50651,0.55664,0.3659,1.13041,1.2337,0.9509,0.0002576,0.0002576,0.0002576
90,2022.42,1.2833,1.16638,1.11783,0.66073,0.50486,0.5579,0.36633,1.1269,1.28657,0.95613,0.0002378,0.0002378,0.0002378
91,2048.02,1.36943,1.50829,1.11552,0.67662,0.49219,0.55469,0.36027,1.15685,1.28707,0.95609,0.000218,0.000218,0.000218
92,2068.79,1.28462,1.0556,1.10966,0.68337,0.4823,0.54985,0.35903,1.1373,1.44615,0.94937,0.0001982,0.0001982,0.0001982
93,2089.4,1.27543,1.09339,1.08605,0.68954,0.49401,0.55612,0.36464,1.13338,1.40759,0.9482,0.0001784,0.0001784,0.0001784
94,2111.61,1.28428,1.12691,1.11783,0.68461,0.49494,0.55686,0.36318,1.12264,1.34086,0.94723,0.0001586,0.0001586,0.0001586
95,2131.65,1.17932,1.04565,1.0841,0.70457,0.48914,0.56156,0.36654,1.12376,1.3586,0.9477,0.0001388,0.0001388,0.0001388
96,2152.88,1.3556,1.21696,1.07974,0.7082,0.49084,0.56555,0.36934,1.1195,1.31459,0.9455,0.000119,0.000119,0.000119
97,2175.41,1.31406,1.0925,1.08383,0.70133,0.49479,0.56648,0.37133,1.1085,1.34887,0.94326,9.92e-05,9.92e-05,9.92e-05
98,2196.48,1.30513,1.20361,1.06665,0.7073,0.49563,0.5678,0.37084,1.10017,1.31895,0.93932,7.94e-05,7.94e-05,7.94e-05
99,2217.86,1.21151,1.17787,1.07531,0.6943,0.49773,0.56442,0.37165,1.10328,1.30992,0.93882,5.96e-05,5.96e-05,5.96e-05
100,2239.87,1.14751,1.21558,1.03717,0.68285,0.50605,0.56629,0.37278,1.10266,1.29893,0.9375,3.98e-05,3.98e-05,3.98e-05
